ID,GSM663026,GSM663027,GSM663028,GSM663029,GSM663030,GSM663031,GSM663032,GSM663033,GSM663034,GSM663035,GSM663036,GSM663037,GSM663038,GSM663039,GSM663040,GSM663041,GSM663042,GSM663043,GSM663044,GSM663045
Group,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT
ILMN_8615,131.81,124.956,167.814,131.405,82.073,121.613,112.058,143.822,95.385,70.16,174.899,147.838,118.868,85.711,84.544,111.886,81.506,113.909,129.845,53.397
ILMN_8616,689.074,476.938,1094.009,711.818,733.236,537.142,623.86,572.425,463.428,496.278,709.774,782.014,855.885,580.786,720.103,717.221,707.496,648.274,845.667,452.49
ILMN_8618,23.108,23.213,41.093,28.127,26.784,36.074,30.624,31.448,19.488,30.833,31.92,16.967,39.945,54.869,47.906,40.551,53.902,26.389,33.981,36.324
ILMN_8619,157.189,116.267,140.817,200.749,179.548,104.974,122.016,120.344,102.517,140.685,167.804,146.762,161.097,129.136,96.512,103.717,92.003,98.979,120.697,183.332
ILMN_8621,42.034,48.347,42.457,93.709,50.797,39.767,34.93,32.964,83.93,47.714,49.786,47.794,36.184,52.103,49.469,33.57,30.45,37.403,56.771,40.425
ILMN_8622,9.108,16.102,9.346,26.954,7.966,26.685,26.203,30.224,12.089,23.854,26.138,17.465,34.86,24.729,10.847,31.233,33.881,20.523,6.082,17.093
ILMN_8623,1032.886,1063.94,5108.874,1270.873,5491.858,6028.689,4073.132,4050.851,2913.98,2853.493,6674.076,8335.539,5141.535,3589.288,3504.659,3089.666,4489.684,10033.284,3095.916,8866.979
ILMN_8625,182.483,159.164,23.669,43.481,14.445,38.552,21.134,24.386,39.644,37.032,24.295,89.931,38.7,36.404,136.925,184.742,40.952,28.432,25.002,31.36
ILMN_8626,38.207,26.974,66.675,30.897,60.854,34.732,48.474,30.987,30.398,34.265,45.981,56.763,57.978,36.649,59.543,56.677,45.393,42.424,98.187,58.551
ILMN_8627,17.953,28.786,12.769,13.702,40.383,26.742,13.717,27.233,20.372,24.486,50.275,20.104,14.836,22.278,24.221,16.135,22.793,9.038,8.737,37.883
ILMN_8628,69.429,91.74,172.927,202.663,59.459,230.395,287.005,306.436,215.522,233.123,134.241,64.13,121.996,172.341,238.255,228.816,313.285,158.969,158.381,74.561
ILMN_8630,31.738,27.078,23.895,24.585,17.425,34.158,42.756,18.972,37.24,19.817,27.536,25.549,12.891,31.383,28.266,31.444,10.198,22.596,26.983,16.133
ILMN_8631,96.559,93.327,89.959,112.014,170.482,184.339,143.588,137.706,111.288,132.945,188.834,147.142,161.352,175.957,157.204,167.031,144.033,201.021,194.137,229.999
ILMN_8634,91.525,118.876,63.368,35.701,30.499,162.751,33.682,45.056,31.288,47.083,120.016,62.494,50.335,67.169,117.408,116.237,88.693,250.65,33.558,97.265
ILMN_8635,1.385,6.543,6.715,13.218,178.846,-0.815,0.362,1.663,4.375,5.133,2.609,4.495,-0.563,3,6.444,-2.342,-0.808,4.182,5.942,-4.373
ILMN_8636,27.826,25.343,47.99,14.11,55.143,75.386,41.418,63.377,35.37,24.391,57.088,40.097,71.865,44.063,58.238,58.284,78.832,62.17,50.053,61.669
ILMN_8637,2302.892,2289.622,2809.289,3509.907,2211.048,3314.566,3442.276,3846.976,2763.091,2648.936,2474.408,2526.236,3146.594,3463.934,2999.898,3374.159,4416.65,2856.372,3101.017,2697.059
ILMN_8638,532.115,576.2,769.517,671.396,1195.994,772.554,735.643,645.706,916.855,997.452,1090.487,839.202,768.403,778.092,621.602,593.06,532.701,843.269,493.883,995.108
ILMN_8639,26.674,15.98,13.784,35.64,27.568,30.434,26.797,18.307,19.027,16.967,38.925,31.461,24.071,43.857,31.305,24.417,21.11,16.875,24.013,41.49
ILMN_864,47.596,53.098,63.793,70.613,91.485,71.157,86.39,96.464,98.895,122.037,59.714,67.958,61.426,79.035,83.797,66.817,69.937,40.678,48.252,65.008
ILMN_8640,8306.413,8109.208,8180.317,5928.862,9197.613,7318.027,6689.086,6524.375,8190.398,7365.6,7069.416,8068.452,7090.741,6798.535,6473.936,6587.338,7034.358,9715.792,8503.407,7900.479
ILMN_8641,126.938,153.741,113.246,183.114,163.072,146.56,126.551,145.553,187.901,192.536,161.055,158.55,148.965,142.975,169.27,153.688,102.361,159.039,156.323,124.366
ILMN_8642,459.117,463.014,578.072,276.262,462.394,293.504,312.445,342.11,319.548,372.709,467.155,406.422,453.356,452.284,552.823,619.3,468.714,538.405,505.575,474.392
ILMN_8643,155.859,179.575,157.202,222.067,241.837,141.439,159.068,179.984,221.922,183.516,163.185,195.63,163.538,183.168,142.311,182.409,188.899,184.643,127.065,196.321
ILMN_8645,1513.565,1883.072,1364.723,1324.609,966.77,1220.838,1503.206,1444.959,1157.011,1177.6,968.777,1075.981,1092.422,1244.798,1646.707,1535.753,1360.127,1585.634,1158.034,1121.446
ILMN_8646,26.106,37.626,24.537,21.453,30.073,26.123,23.553,45.743,22.977,33.214,26.592,25.071,45.874,44.223,15.994,30.888,31.147,28.678,23.942,53.434
ILMN_8647,476.537,445.411,786.737,359.38,576.469,421.655,365.029,394.355,903.482,871.515,1361.64,506.728,803.781,465.806,322.071,320.506,438.211,809.567,670.375,686.652
ILMN_8648,17.904,8.954,28.965,23.726,39.165,13.618,26.065,35.321,46.965,23.668,29.525,29.71,16.287,14.238,9.345,14.138,7.746,24.921,58.621,35.036
ILMN_8650,397.051,415.911,390.25,312.18,329.581,328.777,401.695,488.795,331.555,420.312,269.538,314.379,358.129,418.842,407.089,416.262,354.972,347.527,351.255,261.874
ILMN_8652,19.507,29.971,63.663,31.911,43.525,14.114,14.505,29.056,17.545,11.779,15.525,21.501,15.498,23.4,20.34,13.625,23.147,47.598,17.325,35.556
ILMN_8653,14.697,9.826,39.789,27.32,33.3,37.499,26.021,16.099,17.953,31.561,40.735,27.756,12.695,18.047,21.848,20.617,27.844,35.336,16.938,48.587
ILMN_8654,152.743,132.888,131.805,53.628,32.256,280.534,84.033,85.535,58.851,40.382,157.408,108.946,66.703,44.597,92.135,79.673,132.416,130.379,35.437,223.345
ILMN_8655,234.155,260.568,302.561,210.949,192.557,273.383,253.083,280.84,288.497,256.362,181.186,193.603,237.752,221.471,310.017,264.53,285.363,312.955,341.152,158.15
ILMN_8656,92.328,116.299,58.106,113.208,86.296,68.67,64.356,93.537,76.685,119.956,100.149,82.752,115.565,114.82,77.3,70.972,78.823,82.219,79.287,75.656
ILMN_866,540.156,609.915,530.035,538.41,813.029,612.464,672.756,620.714,649.559,524.091,546.135,568.273,532.336,622.507,685.194,667.841,497.873,574.199,535.875,580.319
ILMN_8663,18.224,16.15,23.785,17.847,23.354,23.799,13.796,24.495,42.011,22.083,22.87,30.198,9.824,18.74,10.177,13.857,22.889,19.717,16.42,23.217
ILMN_8667,191.483,169.475,137.529,15.79,18.937,213.474,91.734,96.523,38.891,21.921,211.839,103.759,81.293,23.509,191.243,175.775,169.01,161.309,15.612,176.433
ILMN_8672,86.122,93.632,115.979,145.188,75.837,35.894,107.091,85.411,52.832,48.263,98.414,96.612,83.271,67.391,111.323,101.321,60.967,98.345,66.79,106.427
ILMN_8673,161.337,146.672,153.894,119.002,76.12,178.721,226.355,175.122,166.71,150.281,64.304,70.87,115.196,87.622,67.001,53.604,95.926,50.385,79.052,27.552
ILMN_8675,51.702,60.774,37.713,37.73,52.787,61.172,52.306,47.692,56.429,60.573,61.521,48.941,54.426,49.455,71.932,76.515,77.209,53.53,60.969,51.517
ILMN_8677,1852.163,2050.965,2325.257,1883.13,1512.868,1442.749,1932.488,1859.793,1361.03,1431.387,1891.191,1850.895,1627.876,1599.664,2284.238,2243.541,1639.245,1997.166,1905.48,1609.686
ILMN_8678,516.161,580.658,421.462,308.609,526.199,695.238,595.771,605.786,713.799,653.309,331.265,366.466,406.375,618.137,456.433,514.256,742.44,417.126,444.633,260.144
ILMN_8681,176.753,190.847,189.359,175.035,231.089,279.018,158.084,157.403,348.461,336.273,444.357,439.501,319.664,346.144,225.807,225.317,220.015,413.121,597.926,472.863
ILMN_8682,27.151,26.716,38.382,47.359,27.493,44.881,26.351,48.382,57.845,24.376,13.037,30.385,40.493,22.483,23.601,10.052,49.892,40.623,28.664,29.457
ILMN_8685,17.917,33.635,25.596,14.112,13.053,19.112,17.369,15.537,17.982,4.756,17.878,10.301,12.109,27.511,15.296,8.447,21.706,9.968,15.569,10.548
ILMN_8687,25.663,25.032,10.206,20.096,21.472,35.435,15.209,32.695,28.948,11.624,26.584,18.343,21.851,15.382,17.6,31.079,37.074,10.791,8.469,27.309
ILMN_8689,389.608,365.629,429.97,463.033,377.783,481.003,605.279,466.187,486.625,471.209,385.584,419.277,593.717,448.975,392.032,371.1,486.787,361.705,476.312,531.999
